,,,"Burnaby, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"First official language spoken","  English",,  211730,,  104790,,  106940,, 4373330,, 2156680,, 2216655,
"First official language spoken","  French",,    1775,,     925,,     845,,   55325,,   27680,,   27640,
"First official language spoken","  English and French",,    1645,,     765,,     880,,   18000,,    8315,,    9685,
"First official language spoken","  Neither English nor French",,   15780,,    6450,,    9335,,  151760,,   62720,,   89040,
"First official language spoken","Official language minority (number)",17,    2600,,    1315,,    1290,,   64325,,   31840,,   32480,
"First official language spoken","Official language minority (percentage)",17,    1.1,,    1.2,,    1.1,,    1.4,,    1.4,,    1.4,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,  230930,,  112935,,  118000,, 4598415,, 2255400,, 2343015,
"Mother tongue","  Single responses",,  222230,,  108750,,  113480,, 4494995,, 2205775,, 2289220,
"Mother tongue","    Official languages",,   93495,,   48940,,   44555,, 3227535,, 1614375,, 1613160,
"Mother tongue","      English",,   91850,,   48090,,   43765,, 3170110,, 1585760,, 1584355,
"Mother tongue","      French",,    1645,,     855,,     785,,   57425,,   28615,,   28810,
"Mother tongue","    Non-official languages",,  128740,,   59815,,   68925,, 1267460,,  591400,,  676060,
"Mother tongue","      Aboriginal languages",,      70,,      25,,      40,,    8435,,    3940,,    4490,
"Mother tongue","        Algonquian languages",,      25,,       5,,      20,,    1050,,     445,,     605,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,      40,,       5,,      35,
"Mother tongue","          Cree-Montagnais languages",,      20,,      10,,      10,,     840,,     375,,     465,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,      10,,       0,,      10,
"Mother tongue","            Plains Cree",,       5,,       0,,       0,,     150,,      60,,      85,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
