,,,"Langley, District municipality [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Mother tongue","            Berber languages; n.i.e.",,       0,,       0,,       0,,      80,,      45,,      30,
"Mother tongue","          Cushitic languages",,       0,,       5,,       0,,    1505,,     765,,     740,
"Mother tongue","            Bilen",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Oromo",,       0,,       0,,       0,,     205,,     115,,      95,
"Mother tongue","            Somali",,       0,,       0,,       0,,    1270,,     640,,     640,
"Mother tongue","            Cushitic languages; n.i.e.",,       0,,       0,,       0,,      20,,      10,,      15,
"Mother tongue","          Semitic languages",,     355,,     175,,     175,,   23195,,   12540,,   10655,
"Mother tongue","            Amharic",,      10,,       5,,      10,,    1370,,     670,,     700,
"Mother tongue","            Arabic",,     310,,     150,,     155,,   17480,,    9595,,    7890,
"Mother tongue","            Assyrian Neo-Aramaic",,       5,,       5,,       0,,     650,,     315,,     330,
"Mother tongue","            Chaldean Neo-Aramaic",,       5,,       0,,       5,,     440,,     245,,     200,
"Mother tongue","            Harari",,       0,,       0,,       0,,      20,,       5,,      15,
"Mother tongue","            Hebrew",,      15,,      10,,       5,,    2065,,    1125,,     940,
"Mother tongue","            Maltese",,       5,,       0,,       0,,     215,,     100,,     115,
"Mother tongue","            Tigrigna",,       5,,       0,,       0,,     805,,     395,,     405,
"Mother tongue","            Semitic languages; n.i.e.",,       5,,       0,,       0,,     150,,      80,,      65,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,       0,,       0,,       0,,      55,,      30,,      25,
"Mother tongue","        Austro-Asiatic languages",,     920,,     470,,     450,,   28740,,   13170,,   15575,
"Mother tongue","          Khmer (Cambodian)",,      20,,      10,,       5,,    1560,,     710,,     850,
"Mother tongue","          Vietnamese",,     895,,     455,,     440,,   27150,,   12440,,   14710,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,      30,,      15,,      15,
"Mother tongue","        Austronesian languages",,    1070,,     420,,     650,,   96535,,   38765,,   57770,
"Mother tongue","          Bikol",,       0,,       0,,       0,,     375,,     165,,     215,
"Mother tongue","          Cebuano",,      30,,      10,,      20,,    4065,,    1565,,    2505,
"Mother tongue","          Fijian",,      10,,       5,,       5,,     470,,     240,,     230,
"Mother tongue","          Hiligaynon",,      20,,       5,,      10,,    1470,,     550,,     920,
"Mother tongue","          Ilocano",,      45,,      15,,      30,,    5240,,    2055,,    3190,
"Mother tongue","          Malagasy",,       0,,       0,,       0,,      20,,      10,,      15,
"Mother tongue","          Malay",,      55,,      25,,      30,,    3895,,    1675,,    2220,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,       5,,       0,,       5,,     700,,     320,,     380,
"Mother tongue","          Pangasinan",,       5,,       0,,       0,,     295,,     130,,     170,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,     900,,     350,,     545,,   78770,,   31550,,   47220,
"Mother tongue","          Waray-Waray",,       0,,       0,,       0,,     215,,      85,,     135,
"Mother tongue","          Austronesian languages; n.i.e.",,       5,,       5,,       5,,    1015,,     435,,     580,
"Mother tongue","        Creole languages",,      15,,      10,,       5,,     840,,     440,,     400,
"Mother tongue","          Haitian Creole",,       0,,       0,,       0,,      35,,      20,,      15,
"Mother tongue","          Creole; n.o.s.",,      10,,       5,,       5,,     500,,     255,,     245,
"Mother tongue","          Creole languages; n.i.e.",,       0,,       0,,       0,,     305,,     155,,     145,
"Mother tongue","        Dravidian languages",,      65,,      30,,      35,,    7500,,    3995,,    3510,
"Mother tongue","          Kannada",,       5,,       5,,       5,,     280,,     150,,     135,
"Mother tongue","          Malayalam",,      15,,       5,,       5,,    2385,,    1260,,    1130,
"Mother tongue","          Tamil",,      35,,      20,,      15,,    3615,,    1875,,    1740,
"Mother tongue","          Telugu",,      10,,       5,,       0,,    1175,,     695,,     480,
"Mother tongue","          Dravidian languages; n.i.e.",,       0,,       0,,       0,,      45,,      20,,      25,
"Mother tongue","        Hmong-Mien languages",,       0,,       0,,       0,,     140,,      75,,      70,
"Mother tongue","        Indo-European languages",,   10250,,    4955,,    5295,,  588175,,  286135,,  302035,
"Mother tongue","          Albanian",,      45,,      30,,      20,,    1465,,     765,,     705,
"Mother tongue","          Armenian",,      15,,       5,,      10,,    1195,,     600,,     600,
"Mother tongue","          Balto-Slavic languages",,    1625,,     755,,     870,,   83110,,   38595,,   44515,
"Mother tongue","            Baltic languages",,      10,,       5,,       5,,    1070,,     485,,     585,
"Mother tongue","              Latvian",,      10,,       0,,       5,,     565,,     255,,     300,
"Mother tongue","              Lithuanian",,       5,,       0,,       0,,     505,,     225,,     280,
"Mother tongue","            Slavic languages",,    1615,,     750,,     870,,   82040,,   38110,,   43930,
"Mother tongue","              Belarusan",,       0,,       0,,       5,,      95,,      45,,      50,
"Mother tongue","              Bosnian",,      40,,      20,,      20,,    1360,,     675,,     685,
"Mother tongue","              Bulgarian",,      30,,      15,,      15,,    2025,,     955,,    1070,
"Mother tongue","              Croatian",,     185,,     100,,      80,,    7475,,    3655,,    3820,
"Mother tongue","              Czech",,     130,,      55,,      75,,    5920,,    2850,,    3070,
"Mother tongue","              Macedonian",,       0,,       0,,       5,,     325,,     160,,     165,
"Mother tongue","              Polish",,     415,,     190,,     220,,   16910,,    7875,,    9035,
"Mother tongue","              Russian",,     455,,     210,,     245,,   25955,,   11640,,   14310,
"Mother tongue","              Serbian",,      80,,      35,,      45,,    7045,,    3600,,    3450,
"Mother tongue","              Serbo-Croatian",,      20,,      10,,      10,,    1395,,     670,,     725,
"Mother tongue","              Slovak",,      50,,      15,,      35,,    3400,,    1525,,    1870,
"Mother tongue","              Slovene (Slovenian)",,      25,,      15,,      15,,    1160,,     545,,     615,
"Mother tongue","              Ukrainian",,     185,,      80,,     110,,    8630,,    3730,,    4900,
"Mother tongue","              Slavic languages; n.i.e.",,       0,,       0,,       5,,     345,,     175,,     170,
"Mother tongue","          Celtic languages",,      15,,      10,,       5,,     615,,     325,,     290,
"Mother tongue","            Scottish Gaelic",,       0,,       0,,       0,,     240,,     130,,     110,
"Mother tongue","            Welsh",,      10,,      10,,       5,,     280,,     145,,     135,
"Mother tongue","            Celtic languages; n.i.e.",,       5,,       0,,       0,,      95,,      50,,      45,
"Mother tongue","          Germanic languages",,    3195,,    1535,,    1665,,  101725,,   48350,,   53380,
"Mother tongue","            Afrikaans",,     105,,      45,,      55,,    3260,,    1655,,    1610,
"Mother tongue","            Danish",,     135,,      60,,      75,,    4665,,    2280,,    2385,
"Mother tongue","            Dutch",,     950,,     445,,     505,,   21020,,   10130,,   10895,
"Mother tongue","            Frisian",,      15,,      10,,       5,,     295,,     145,,     145,
"Mother tongue","            German",,    1870,,     915,,     955,,   66885,,   31525,,   35360,
"Mother tongue","            Icelandic",,       5,,       0,,       5,,     275,,     135,,     145,
"Mother tongue","            Norwegian",,      55,,      30,,      25,,    2005,,     970,,    1035,
"Mother tongue","            Swedish",,      45,,      20,,      25,,    2520,,    1100,,    1420,
"Mother tongue","            Vlaams (Flemish)",,      10,,       5,,       5,,     445,,     220,,     225,
"Mother tongue","            Yiddish",,       0,,       5,,       0,,     290,,     150,,     140,
"Mother tongue","            Germanic languages; n.i.e.",,       5,,       5,,       0,,      65,,      45,,      25,
"Mother tongue","          Greek",,     125,,      65,,      50,,    6115,,    3245,,    2870,
"Mother tongue","          Indo-Iranian languages",,    3220,,    1570,,    1655,,  297800,,  147830,,  149970,
"Mother tongue","            Indo-Aryan languages",,    2895,,    1405,,    1485,,  251000,,  124260,,  126740,
"Mother tongue","              Bengali",,      15,,      10,,       5,,    3180,,    1665,,    1510,
"Mother tongue","              Gujarati",,      45,,      15,,      25,,    6895,,    3290,,    3605,
"Mother tongue","              Hindi",,     250,,     115,,     130,,   26720,,   12910,,   13810,
"Mother tongue","              Kashmiri",,       0,,       0,,       0,,      65,,      35,,      25,
"Mother tongue","              Konkani",,       5,,       5,,       0,,     255,,     130,,     125,
"Mother tongue","              Marathi",,      20,,      10,,      15,,     620,,     325,,     295,
"Mother tongue","              Nepali",,      10,,       5,,       5,,    1155,,     620,,     540,
"Mother tongue","              Oriya (Odia)",,       0,,       0,,       0,,      70,,      35,,      35,
"Mother tongue","              Punjabi (Panjabi)",,    2465,,    1200,,    1265,,  198805,,   98525,,  100285,
"Mother tongue","              Sindhi",,       0,,       0,,       5,,    1675,,     780,,     895,
"Mother tongue","              Sinhala (Sinhalese)",,      20,,      10,,      10,,    1675,,     845,,     830,
