"Census Profile, 2021 Census of Population"
,,,"Maple Ridge, City (CY) [Census subdivision], British Columbia",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data",,  6560,"",  2615,"",  3945,"",    8.9,"",    7.2,"",   10.5,"",
"Income of individuals in 2020","    Average employment insurance benefits in 2020 among recipients ($)",,  6310,"",  5400,"",  6910,"",  6310,"",  5400,"",  6910,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data",, 17910,"",  8240,"",  9670,"",   24.3,"",   22.8,"",   25.7,"",
"Income of individuals in 2020","    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  8810,"",  8480,"",  9080,"",  8810,"",  8480,"",  9080,"",
"Income of individuals in 2020","Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",12, 73805,"", 36155,"", 37650,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data",13, 27275,"", 16185,"", 11085,"",   37.0,"",   44.8,"",   29.4,"",
"Income of individuals in 2020","    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14, 69000,"", 77500,"", 59200,"", 69000,"", 77500,"", 59200,"",
"Income of individuals in 2020","    Average employment income in 2020 for full-year full-time workers in 2020 ($)",15, 77700,"", 87000,"", 64100,"", 77700,"", 87000,"", 64100,"",
"Income of individuals in 2020","  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data",16, 19915,"",  8620,"", 11290,"",   27.0,"",   23.8,"",   30.0,"",
"Income of individuals in 2020","    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($)",, 20000,"", 23600,"", 17800,"", 20000,"", 23600,"", 17800,"",
