,,,"Abbotsford, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Mother tongue","              Lithuanian",,       5,,       5,,       0,,     505,,     225,,     280,
"Mother tongue","            Slavic languages",,    1280,,     600,,     680,,   82040,,   38110,,   43930,
"Mother tongue","              Belarusan",,       5,,       0,,       0,,      95,,      45,,      50,
"Mother tongue","              Bosnian",,      45,,      20,,      25,,    1360,,     675,,     685,
"Mother tongue","              Bulgarian",,      25,,      15,,      15,,    2025,,     955,,    1070,
"Mother tongue","              Croatian",,      55,,      35,,      25,,    7475,,    3655,,    3820,
"Mother tongue","              Czech",,      85,,      45,,      45,,    5920,,    2850,,    3070,
"Mother tongue","              Macedonian",,       0,,       5,,       0,,     325,,     160,,     165,
"Mother tongue","              Polish",,     300,,     135,,     170,,   16910,,    7875,,    9035,
"Mother tongue","              Russian",,     415,,     185,,     230,,   25955,,   11640,,   14310,
"Mother tongue","              Serbian",,      40,,      25,,      15,,    7045,,    3600,,    3450,
"Mother tongue","              Serbo-Croatian",,      10,,       0,,      10,,    1395,,     670,,     725,
"Mother tongue","              Slovak",,      45,,      20,,      25,,    3400,,    1525,,    1870,
"Mother tongue","              Slovene (Slovenian)",,      20,,      10,,       5,,    1160,,     545,,     615,
"Mother tongue","              Ukrainian",,     230,,     115,,     115,,    8630,,    3730,,    4900,
"Mother tongue","              Slavic languages; n.i.e.",,       5,,       5,,       5,,     345,,     175,,     170,
"Mother tongue","          Celtic languages",,       5,,       5,,       5,,     615,,     325,,     290,
"Mother tongue","            Scottish Gaelic",,       5,,       0,,       5,,     240,,     130,,     110,
"Mother tongue","            Welsh",,       5,,       5,,       0,,     280,,     145,,     135,
"Mother tongue","            Celtic languages; n.i.e.",,       0,,       0,,       0,,      95,,      50,,      45,
"Mother tongue","          Germanic languages",,    6275,,    2880,,    3400,,  101725,,   48350,,   53380,
"Mother tongue","            Afrikaans",,     115,,      60,,      65,,    3260,,    1655,,    1610,
"Mother tongue","            Danish",,     130,,      65,,      65,,    4665,,    2280,,    2385,
"Mother tongue","            Dutch",,    1285,,     610,,     675,,   21020,,   10130,,   10895,
"Mother tongue","            Frisian",,      35,,      15,,      15,,     295,,     145,,     145,
"Mother tongue","            German",,    4590,,    2070,,    2515,,   66885,,   31525,,   35360,
"Mother tongue","            Icelandic",,      10,,       5,,       5,,     275,,     135,,     145,
"Mother tongue","            Norwegian",,      45,,      15,,      25,,    2005,,     970,,    1035,
"Mother tongue","            Swedish",,      50,,      20,,      25,,    2520,,    1100,,    1420,
"Mother tongue","            Vlaams (Flemish)",,       5,,       0,,       5,,     445,,     220,,     225,
"Mother tongue","            Yiddish",,       5,,       5,,       0,,     290,,     150,,     140,
"Mother tongue","            Germanic languages; n.i.e.",,      10,,       5,,       5,,      65,,      45,,      25,
"Mother tongue","          Greek",,      60,,      35,,      30,,    6115,,    3245,,    2870,
"Mother tongue","          Indo-Iranian languages",,   29305,,   14580,,   14725,,  297800,,  147830,,  149970,
"Mother tongue","            Indo-Aryan languages",,   29010,,   14415,,   14590,,  251000,,  124260,,  126740,
"Mother tongue","              Bengali",,      15,,      10,,      10,,    3180,,    1665,,    1510,
"Mother tongue","              Gujarati",,      75,,      40,,      35,,    6895,,    3290,,    3605,
"Mother tongue","              Hindi",,     590,,     270,,     315,,   26720,,   12910,,   13810,
"Mother tongue","              Kashmiri",,       5,,       0,,       0,,      65,,      35,,      25,
"Mother tongue","              Konkani",,       5,,       5,,       5,,     255,,     130,,     125,
"Mother tongue","              Marathi",,      10,,       5,,       5,,     620,,     325,,     295,
"Mother tongue","              Nepali",,      15,,       5,,       5,,    1155,,     620,,     540,
"Mother tongue","              Oriya (Odia)",,       0,,       0,,       0,,      70,,      35,,      35,
"Mother tongue","              Punjabi (Panjabi)",,   28050,,   13950,,   14105,,  198805,,   98525,,  100285,
"Mother tongue","              Sindhi",,       5,,       5,,       5,,    1675,,     780,,     895,
"Mother tongue","              Sinhala (Sinhalese)",,      25,,      15,,      10,,    1675,,     845,,     830,
