,,,"North Vancouver, District municipality [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Mother tongue","          Malayalam",,      10,,       5,,       5,,    2385,,    1260,,    1130,
"Mother tongue","          Tamil",,      20,,      10,,      10,,    3615,,    1875,,    1740,
"Mother tongue","          Telugu",,      10,,       5,,       5,,    1175,,     695,,     480,
"Mother tongue","          Dravidian languages; n.i.e.",,       0,,       0,,       0,,      45,,      20,,      25,
"Mother tongue","        Hmong-Mien languages",,       0,,       0,,       0,,     140,,      75,,      70,
"Mother tongue","        Indo-European languages",,   12915,,    6145,,    6770,,  588175,,  286135,,  302035,
"Mother tongue","          Albanian",,      20,,      10,,       5,,    1465,,     765,,     705,
"Mother tongue","          Armenian",,      95,,      50,,      50,,    1195,,     600,,     600,
"Mother tongue","          Balto-Slavic languages",,    1875,,     810,,    1070,,   83110,,   38595,,   44515,
"Mother tongue","            Baltic languages",,      30,,      15,,      20,,    1070,,     485,,     585,
"Mother tongue","              Latvian",,      10,,       5,,       5,,     565,,     255,,     300,
"Mother tongue","              Lithuanian",,      20,,      10,,      10,,     505,,     225,,     280,
"Mother tongue","            Slavic languages",,    1845,,     795,,    1055,,   82040,,   38110,,   43930,
"Mother tongue","              Belarusan",,      10,,       0,,       5,,      95,,      45,,      50,
"Mother tongue","              Bosnian",,      25,,      15,,      10,,    1360,,     675,,     685,
"Mother tongue","              Bulgarian",,      70,,      25,,      45,,    2025,,     955,,    1070,
"Mother tongue","              Croatian",,     105,,      55,,      50,,    7475,,    3655,,    3820,
"Mother tongue","              Czech",,     310,,     140,,     170,,    5920,,    2850,,    3070,
"Mother tongue","              Macedonian",,       0,,       0,,       5,,     325,,     160,,     165,
"Mother tongue","              Polish",,     475,,     205,,     270,,   16910,,    7875,,    9035,
"Mother tongue","              Russian",,     465,,     190,,     270,,   25955,,   11640,,   14310,
"Mother tongue","              Serbian",,      70,,      40,,      30,,    7045,,    3600,,    3450,
"Mother tongue","              Serbo-Croatian",,      15,,      10,,       5,,    1395,,     670,,     725,
"Mother tongue","              Slovak",,     155,,      60,,      95,,    3400,,    1525,,    1870,
"Mother tongue","              Slovene (Slovenian)",,      25,,      10,,      15,,    1160,,     545,,     615,
"Mother tongue","              Ukrainian",,     120,,      45,,      75,,    8630,,    3730,,    4900,
"Mother tongue","              Slavic languages; n.i.e.",,       5,,       0,,       5,,     345,,     175,,     170,
"Mother tongue","          Celtic languages",,      15,,       5,,      10,,     615,,     325,,     290,
"Mother tongue","            Scottish Gaelic",,      10,,       0,,       5,,     240,,     130,,     110,
"Mother tongue","            Welsh",,      10,,       5,,       5,,     280,,     145,,     135,
"Mother tongue","            Celtic languages; n.i.e.",,       0,,       0,,       0,,      95,,      50,,      45,
"Mother tongue","          Germanic languages",,    2250,,    1110,,    1140,,  101725,,   48350,,   53380,
"Mother tongue","            Afrikaans",,     150,,      75,,      80,,    3260,,    1655,,    1610,
"Mother tongue","            Danish",,     105,,      55,,      50,,    4665,,    2280,,    2385,
"Mother tongue","            Dutch",,     325,,     175,,     155,,   21020,,   10130,,   10895,
"Mother tongue","            Frisian",,       0,,       0,,       0,,     295,,     145,,     145,
"Mother tongue","            German",,    1465,,     710,,     755,,   66885,,   31525,,   35360,
"Mother tongue","            Icelandic",,      10,,       5,,       5,,     275,,     135,,     145,
"Mother tongue","            Norwegian",,      65,,      35,,      25,,    2005,,     970,,    1035,
"Mother tongue","            Swedish",,     105,,      45,,      65,,    2520,,    1100,,    1420,
"Mother tongue","            Vlaams (Flemish)",,      15,,       5,,      10,,     445,,     220,,     225,
"Mother tongue","            Yiddish",,       5,,       5,,       5,,     290,,     150,,     140,
"Mother tongue","            Germanic languages; n.i.e.",,       0,,       0,,       0,,      65,,      45,,      25,
"Mother tongue","          Greek",,     165,,      85,,      80,,    6115,,    3245,,    2870,
"Mother tongue","          Indo-Iranian languages",,    6210,,    3005,,    3205,,  297800,,  147830,,  149970,
"Mother tongue","            Indo-Aryan languages",,    1045,,     480,,     560,,  251000,,  124260,,  126740,
"Mother tongue","              Bengali",,      10,,       5,,       5,,    3180,,    1665,,    1510,
"Mother tongue","              Gujarati",,     320,,     135,,     185,,    6895,,    3290,,    3605,
"Mother tongue","              Hindi",,     130,,      70,,      65,,   26720,,   12910,,   13810,
"Mother tongue","              Kashmiri",,       0,,       0,,       0,,      65,,      35,,      25,
"Mother tongue","              Konkani",,      10,,       5,,       5,,     255,,     130,,     125,
"Mother tongue","              Marathi",,      10,,       5,,       5,,     620,,     325,,     295,
"Mother tongue","              Nepali",,       5,,       5,,       5,,    1155,,     620,,     540,
"Mother tongue","              Oriya (Odia)",,       0,,       0,,       0,,      70,,      35,,      35,
"Mother tongue","              Punjabi (Panjabi)",,     350,,     155,,     190,,  198805,,   98525,,  100285,
"Mother tongue","              Sindhi",,     120,,      55,,      65,,    1675,,     780,,     895,
"Mother tongue","              Sinhala (Sinhalese)",,      15,,      10,,      10,,    1675,,     845,,     830,
