"Census Profile, 2021 Census of Population"
,,,"Coquitlam, City (CY) [Census subdivision], British Columbia",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Household type","      With children",6, 17650,"",,"...",,"...",   31.5,"",,"...",,"...",
"Household type","      Without children",, 12830,"",,"...",,"...",   22.9,"",,"...",,"...",
"Household type","    One-parent-family households",,  5030,"",,"...",,"...",    9.0,"",,"...",,"...",
"Household type","  Multigenerational households",8,  2520,"",,"...",,"...",    4.5,"",,"...",,"...",
"Household type","  Multiple-census-family households",9,   720,"",,"...",,"...",    1.3,"",,"...",,"...",
"Household type","  One-census-family households with additional persons",9,  2230,"",,"...",,"...",    4.0,"",,"...",,"...",
"Household type","  Two-or-more-person non-census-family households ",,  2165,"",,"...",,"...",    3.9,"",,"...",,"...",
"Household type","  One-person households",, 12815,"",,"...",,"...",   22.9,"",,"...",,"...",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data",10,125075,"", 61105,"", 63970,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data",,120520,"", 58965,"", 61555,"",   96.4,"",   96.5,"",   96.2,"",
"Income of individuals in 2020","    Median total income in 2020 among recipients ($)",, 40000,"", 46800,"", 34800,"", 40000,"", 46800,"", 34800,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data",,120600,"", 59005,"", 61595,"",   96.4,"",   96.6,"",   96.3,"",
"Income of individuals in 2020","    Median after-tax income in 2020 among recipients ($)",, 36800,"", 42000,"", 32400,"", 36800,"", 42000,"", 32400,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data",,108325,"", 53845,"", 54475,"",   86.6,"",   88.1,"",   85.2,"",
"Income of individuals in 2020","    Median market income in 2020 among recipients ($)",, 35200,"", 44800,"", 27800,"", 35200,"", 44800,"", 27800,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data",, 86765,"", 44385,"", 42380,"",   69.4,"",   72.6,"",   66.2,"",
"Income of individuals in 2020","    Median employment income in 2020 among recipients ($)",, 40400,"", 48800,"", 32400,"", 40400,"", 48800,"", 32400,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data",, 98465,"", 44870,"", 53590,"",   78.7,"",   73.4,"",   83.8,"",
"Income of individuals in 2020","    Median government transfers in 2020 among recipients ($)",,  8100,"",  7050,"",  8800,"",  8100,"",  7050,"",  8800,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data",,  9870,"",  4310,"",  5560,"",    7.9,"",    7.1,"",    8.7,"",
"Income of individuals in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5480,"",  5440,"",  5640,"",  5480,"",  5440,"",  5640,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 35035,"", 16710,"", 18330,"",   28.0,"",   27.3,"",   28.7,"",
