,,,"Coquitlam, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"First official language spoken","Official language minority (percentage)",17,    1.3,,    1.3,,    1.4,,    1.4,,    1.4,,    1.4,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,  138335,,   67900,,   70435,, 4598415,, 2255400,, 2343015,
"Mother tongue","  Single responses",,  133980,,   65790,,   68185,, 4494995,, 2205775,, 2289220,
"Mother tongue","    Official languages",,   71150,,   36065,,   35085,, 3227535,, 1614375,, 1613160,
"Mother tongue","      English",,   69830,,   35450,,   34380,, 3170110,, 1585760,, 1584355,
"Mother tongue","      French",,    1320,,     615,,     705,,   57425,,   28615,,   28810,
"Mother tongue","    Non-official languages",,   62830,,   29730,,   33100,, 1267460,,  591400,,  676060,
"Mother tongue","      Aboriginal languages",,      20,,      10,,      15,,    8435,,    3940,,    4490,
"Mother tongue","        Algonquian languages",,      10,,       0,,      10,,    1050,,     445,,     605,
"Mother tongue","          Blackfoot",,       0,,       0,,       5,,      40,,       5,,      35,
"Mother tongue","          Cree-Montagnais languages",,      10,,       0,,       5,,     840,,     375,,     465,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,      10,,       0,,      10,
"Mother tongue","            Plains Cree",,       0,,       0,,       0,,     150,,      60,,      85,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Swampy Cree",,       0,,       0,,       0,,      25,,      15,,      10,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,      60,,      25,,      35,
"Mother tongue","            Cree; n.o.s.",,       5,,       0,,       0,,     585,,     270,,     320,
"Mother tongue","          Eastern Algonquian languages",,       0,,       0,,       0,,      10,,       5,,      10,
"Mother tongue","            Malecite",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Mi'kmaq",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Ojibway-Potawatomi languages",,       5,,       0,,       5,,     155,,      55,,     105,
"Mother tongue","            Algonquin",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","            Ojibway",,       5,,       0,,       0,,     135,,      50,,      90,
