,,,"Richmond, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,     250,,     130,,     120,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,      45,,      25,,      20,
"Mother tongue","          Dakota",,       5,,       0,,       0,,      30,,      15,,      20,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,      30,,      15,,      15,
"Mother tongue","        Tsimshian languages",,       0,,       5,,       0,,    1460,,     715,,     740,
"Mother tongue","          Gitxsan (Gitksan)",,       5,,       0,,       0,,     875,,     435,,     445,
"Mother tongue","          Nisga'a",,       0,,       0,,       0,,     385,,     195,,     190,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,     195,,      90,,     110,
"Mother tongue","        Wakashan languages",,       0,,       0,,       0,,     795,,     365,,     435,
"Mother tongue","          Haisla",,       0,,       0,,       0,,      90,,      40,,      55,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,     100,,      45,,      55,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,     320,,     140,,     180,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,     275,,     135,,     140,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       5,,      10,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,       5,,       0,,       5,,     190,,      80,,     110,
"Mother tongue","      Non-Aboriginal languages",,  122970,,   56310,,   66660,, 1259025,,  587455,,  671570,
"Mother tongue","        Afro-Asiatic languages",,    1750,,     930,,     820,,   24870,,   13405,,   11465,
"Mother tongue","          Berber languages",,      15,,      10,,       0,,     115,,      75,,      45,
"Mother tongue","            Kabyle",,       5,,       0,,       0,,      40,,      30,,      15,
"Mother tongue","            Berber languages; n.i.e.",,      10,,       5,,       0,,      80,,      45,,      30,
"Mother tongue","          Cushitic languages",,     115,,      60,,      60,,    1505,,     765,,     740,
"Mother tongue","            Bilen",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Oromo",,       5,,       5,,       5,,     205,,     115,,      95,
"Mother tongue","            Somali",,     110,,      55,,      55,,    1270,,     640,,     640,
"Mother tongue","            Cushitic languages; n.i.e.",,       0,,       0,,       0,,      20,,      10,,      15,
"Mother tongue","          Semitic languages",,    1620,,     860,,     760,,   23195,,   12540,,   10655,
"Mother tongue","            Amharic",,      40,,      25,,      20,,    1370,,     670,,     700,
"Mother tongue","            Arabic",,    1205,,     650,,     560,,   17480,,    9595,,    7890,
"Mother tongue","            Assyrian Neo-Aramaic",,      40,,      20,,      20,,     650,,     315,,     330,
"Mother tongue","            Chaldean Neo-Aramaic",,      20,,      15,,       5,,     440,,     245,,     200,
"Mother tongue","            Harari",,      10,,       5,,       5,,      20,,       5,,      15,
"Mother tongue","            Hebrew",,     270,,     130,,     135,,    2065,,    1125,,     940,
"Mother tongue","            Maltese",,       5,,       5,,       5,,     215,,     100,,     115,
"Mother tongue","            Tigrigna",,      25,,      10,,      10,,     805,,     395,,     405,
